English,Chinese
part,部分
history,历史
search,搜索
only,仅有的
police,警察
thought,想法
help,帮助
request,要求
kind,种类
month,月
brother,兄弟
let,让
because,因为
to put,放在
no,不
leash,皮带
them,他们
city,城市
each,每个
speak,说话
come,来
should,应该
baby,婴儿
long time,很久
hours,小时
will,将要
while,尽管
meet again,再次见面
any,任何
square,正方形
speak,说话
understood,理解
knew,知道
were,是
Warning,警告
here is,这是
could,可以
case,案件
give,给
type,类型
their,他们的
given,给出
train,火车
body,身体
place,地方
eyes,眼睛
way,方式
listen,听
whose,谁的
find,寻找
first,第一的
lost,丢失的
hand,手
first,第一的
side,边
power,力量
old,老的
be,是
here,这里
morning,早晨
so much,非常
child,孩子
point,观点
came,来了
after,后
sorry,对不起
come,来
in front of,在...前面
towards,向
minutes,分钟
request,要求
bedroom,卧室
placed,放置
beautiful,美丽的
law,法律
would like to,想要
today,今天
husband,丈夫
cause,原因
finally,最后
hope,希望
water,水
Wait,等待
left,左边
new,新的
job,工作
Stop,停止
would say,会说
Earth,地球
account,帐户
given,给出
far,远的
end,结尾
believe,相信
sweetheart,亲爱的
large,大的
rather,相当
will have,会有
girls,女孩们
to play,玩
office,办公室
